======================================================================
QUANTUMEDGE — FEATURE IMPORTANCE REPORT
======================================================================

Total features: 35

 Rank  Feature                          Gain     Gain%      Cum%    Splits
----------------------------------------------------------------------
    1  close_z_100                   10572.1    36.31%    36.31%        62
    2  atr_ratio                      2261.4     7.77%    44.08%        50
    3  close_z_30                     2081.0     7.15%    51.22%        18
    4  hour_cos                       1586.0     5.45%    56.67%        35
    5  hour_sin                       1473.9     5.06%    61.73%        42
    6  atr_pct                        1402.1     4.82%    66.55%        43
    7  atr_14                         1249.0     4.29%    70.84%        37
    8  dow_sin                        1198.0     4.11%    74.95%        28
    9  rsi_21                          955.8     3.28%    78.23%        25
   10  log_ret_1                       895.6     3.08%    81.31%        17
   11  macd_hist                       563.1     1.93%    83.24%        14
   12  bb_width                        484.3     1.66%    84.91%        14
   13  bb_pct_b                        459.2     1.58%    86.48%         9
   14  price_loc_20                    459.1     1.58%    88.06%        13
   15  price_loc_50                    429.0     1.47%    89.54%        13
   16  log_ret_5                       405.3     1.39%    90.93%        11
   17  is_weekend                      374.3     1.29%    92.21%         8
   18  log_ret_20                      344.8     1.18%    93.40%        11
   19  macd                            296.3     1.02%    94.41%        10
   20  rsi_14                          269.9     0.93%    95.34%         8
   21  vol_z_100                       237.5     0.82%    96.16%         7
   22  log_ret_3                       221.5     0.76%    96.92%         5
   23  rsi_7                           207.0     0.71%    97.63%         6
   24  macd_signal                     178.9     0.61%    98.24%         6
   25  ret_20                          171.7     0.59%    98.83%         6
   26  dow_cos                         162.4     0.56%    99.39%         6
   27  log_ret_10                       87.5     0.30%    99.69%         3
   28  ret_5                            32.3     0.11%    99.80%         1
   29  vol_ratio_20                     31.0     0.11%    99.91%         1
   30  log_ret_48                       26.4     0.09%   100.00%         1
   31  ret_1                             0.0     0.00%   100.00%         0
   32  ret_3                             0.0     0.00%   100.00%         0
   33  hl_range                          0.0     0.00%   100.00%         0
   34  ret_48                            0.0     0.00%   100.00%         0
   35  ret_10                            0.0     0.00%   100.00%         0

Top 9 features explain 80% of total gain.
Features with <0.5% gain: 9

======================================================================
