
PARALLEL MONTE CARLO RESULTS
--------------------------------------------------------------------------------
  #  Parameters                                           Sharpe     PF     DD%  Trades   Return
--------------------------------------------------------------------------------
  1  bb_period=30, bb_std=2.3, keltner_period=20, ...       1.25   2.16  -44.74%      16  +168.53%
  2  bb_period=20, bb_std=2.8, keltner_period=20, ...       1.13   1.81  -38.54%      50  +118.44%
  3  bb_period=20, bb_std=2.2, keltner_period=20, ...       1.08   1.63  -35.19%      71  +128.76%
  4  bb_period=20, bb_std=2.7, keltner_period=20, ...       1.08   1.88  -28.46%      71  +109.32%
  5  bb_period=30, bb_std=2.2, keltner_period=20, ...       1.01   1.47  -44.82%      29  +108.46%
  6  bb_period=20, bb_std=2.4, keltner_period=15, ...       0.85    inf  -31.54%       1  +73.93%
  7  bb_period=20, bb_std=2.7, keltner_period=15, ...       0.85    inf  -31.54%       1  +73.93%
  8  bb_period=20, bb_std=2.6, keltner_period=15, ...       0.82   1.51  -40.02%      67  +72.90%
  9  bb_period=25, bb_std=2.2, keltner_period=15, ...       0.82   1.17  -60.18%      72  +74.10%
 10  bb_period=20, bb_std=2.2, keltner_period=15, ...       0.81   1.60  -41.76%      37  +74.52%
 11  bb_period=20, bb_std=2.5, keltner_period=15, ...       0.80    inf  -31.54%       1  +63.78%
 12  bb_period=20, bb_std=2.6, keltner_period=15, ...       0.80    inf  -31.54%       1  +63.78%
 13  bb_period=20, bb_std=2.8, keltner_period=15, ...       0.80    inf  -31.54%       1  +63.78%
 14  bb_period=20, bb_std=2.4, keltner_period=25, ...       0.78   1.57  -36.28%      40  +67.06%
 15  bb_period=20, bb_std=2.3, keltner_period=20, ...       0.78   1.41  -44.59%      52  +68.81%
 16  bb_period=20, bb_std=2.3, keltner_period=25, ...       0.77   1.50  -36.31%      55  +67.85%
 17  bb_period=25, bb_std=2.7, keltner_period=15, ...       0.73    inf  -35.76%       1  +50.38%
 18  bb_period=20, bb_std=2.5, keltner_period=25, ...       0.71   1.50  -44.39%      28  +56.21%
 19  bb_period=25, bb_std=2.4, keltner_period=20, ...       0.64   1.23  -53.24%      47  +47.04%
 20  bb_period=20, bb_std=2.5, keltner_period=15, ...       0.63   1.26  -40.39%      99  +44.50%
 21  bb_period=20, bb_std=2.2, keltner_period=25, ...       0.58   1.30  -49.86%      24  +38.69%
 22  bb_period=20, bb_std=2.4, keltner_period=15, ...       0.56   1.14  -49.85%     145  +36.06%
 23  bb_period=20, bb_std=2.6, keltner_period=20, ...       0.54   1.24  -43.08%      98  +32.66%
